"pop2023","pop2022","city","country","growthRate","type","rank"
5325160,5118844,"Nairobi","Kenya",0.0403,"w",79
1440396,1388979,"Mombasa","Kenya",0.037,"w",371
3297759,3238523,"Kuwait City","Kuwait",0.0183,"w",145
1104742,1082214,"Bishkek","Kyrgyzstan",0.0208,"w",518
2421354,2433155,"Beirut","Lebanon",-0.0049,"w",208
1678020,1622582,"Monrovia","Liberia",0.0342,"w",312
1183292,1175830,"Tripoli","Libya",0.0063,"w",480
984193,953472,"Misratah","Libya",0.0322,"w",593
859209,847790,"Banghazi","Libya",0.0135,"w",684
3872264,3699900,"Antananarivo","Madagascar",0.0466,"w",123
1276316,1222325,"Lilongwe","Malawi",0.0442,"w",437
1030974,994911,"Blantyre-Limbe","Malawi",0.0362,"w",564
8621724,8419566,"Kuala Lumpur","Malaysia",0.024,"w",45
1086214,1065341,"Johor Bahru","Malaysia",0.0196,"w",529
857225,842281,"Ipoh","Malaysia",0.0177,"w",686
2929373,2816943,"Bamako","Mali",0.0399,"w",171
1491958,1431539,"Nouakchott","Mauritania",0.0422,"w",359
22281442,22085140,"Mexico City","Mexico",0.0089,"w",6
5419880,5339583,"Guadalajara","Mexico",0.015,"w",76
5116647,5036535,"Monterrey","Mexico",0.0159,"w",83
3344761,3294779,"Puebla","Mexico",0.0152,"w",143
2626368,2575626,"Toluca de Lerdo","Mexico",0.0197,"w",194
2259787,2221008,"Tijuana","Mexico",0.0175,"w",228
1898749,1873522,"Leon de los Aldamas","Mexico",0.0135,"w",273
1780592,1729825,"La Laguna","Mexico",0.0293,"w",292
1582313,1560821,"Ciudad Juarez","Mexico",0.0138,"w",336
1413474,1389302,"Queretaro","Mexico",0.0174,"w",382
1273325,1254382,"San Luis Potosi","Mexico",0.0151,"w",438
1220603,1201142,"Merida","Mexico",0.0162,"w",466
1178477,1159544,"Mexicali","Mexico",0.0163,"w",484
1161448,1143281,"Aguascalientes","Mexico",0.0159,"w",495
1123843,1107476,"Cuernavaca","Mexico",0.0148,"w",508
1116295,1096429,"Chihuahua","Mexico",0.0181,"w",512
1047251,1031867,"Tampico","Mexico",0.0149,"w",558
1034126,1017570,"Saltillo","Mexico",0.0163,"w",560
1022604,998146,"Cancun","Mexico",0.0245,"w",569
1018976,1005421,"Acapulco de Juarez","Mexico",0.0135,"w",571
988744,975171,"Morelia","Mexico",0.0139,"w",588
955226,942635,"Veracruz","Mexico",0.0134,"w",617
951417,934515,"Reynosa","Mexico",0.0181,"w",623
943530,928663,"Villahermosa","Mexico",0.016,"w",628
915060,899681,"Hermosillo","Mexico",0.0171,"w",647
897694,881638,"Tuxtla Gutierrez","Mexico",0.0182,"w",664
888620,872643,"Culiacan","Mexico",0.0183,"w",670
811041,799178,"Xalapa","Mexico",0.0148,"w",722
1672627,1644544,"Ulaanbaatar","Mongolia",0.0171,"w",316
3892837,3840396,"Casablanca","Morocco",0.0137,"w",121
1959388,1931930,"Rabat","Morocco",0.0142,"w",265
1314178,1277242,"Tanger","Morocco",0.0289,"w",418
1290039,1267317,"Fes","Morocco",0.0179,"w",432
1049690,1033050,"Marrakech","Morocco",0.0161,"w",556
979248,960438,"Agadir","Morocco",0.0196,"w",597
1852405,1796872,"Matola","Mozambique",0.0309,"w",278
1162793,1138960,"Maputo","Mozambique",0.0209,"w",493
969322,927472,"Nampula","Mozambique",0.0451,"w",603
5610241,5514454,"Yangon","Myanmar",0.0174,"w",71
1531860,1500625,"Mandalay","Myanmar",0.0208,"w",350
1571010,1521057,"Kathmandu","Nepal",0.0328,"w",341
1174025,1165898,"Amsterdam","Netherlands",0.007,"w",488
1018012,1014675,"Rotterdam","Netherlands",0.0033,"w",572
1673220,1652341,"Auckland","New Zealand",0.0126,"w",314
1094510,1083094,"Managua","Nicaragua",0.0105,"w",524
1437233,1383909,"Niamey","Niger",0.0385,"w",372
15945912,15387639,"Lagos","Nigeria",0.0363,"w",14
4348481,4219209,"Kano","Nigeria",0.0306,"w",99
3874908,3756445,"Ibadan","Nigeria",0.0315,"w",122
3839646,3652029,"Abuja","Nigeria",0.0514,"w",125
3480101,3324694,"Port Harcourt","Nigeria",0.0467,"w",136
1904631,1841084,"Benin City","Nigeria",0.0345,"w",272
1623382,1552630,"Onitsha","Nigeria",0.0456,"w",330
1329284,1264636,"Uyo","Nigeria",0.0511,"w",413
1239186,1176550,"Nnewi","Nigeria",0.0532,"w",456
1188803,1150116,"Aba","Nigeria",0.0336,"w",478
1187398,1158048,"Kaduna","Nigeria",0.0253,"w",479
1093308,1041166,"Ikorodu","Nigeria",0.0501,"w",525
1030498,1000477,"Ilorin","Nigeria",0.03,"w",565
986921,942683,"Warri","Nigeria",0.0469,"w",590
983352,945046,"Owerri","Nigeria",0.0405,"w",594
970129,942167,"Jos","Nigeria",0.0297,"w",601
904139,860555,"Umuahia","Nigeria",0.0506,"w",657
846560,819791,"Enugu","Nigeria",0.0327,"w",691
844747,822337,"Maiduguri","Nigeria",0.0273,"w",692
839046,790742,"Lokoja","Nigeria",0.0611,"w",696
771515,749750,"Oshogbo","Nigeria",0.029,"w",756
766007,749297,"Zaria","Nigeria",0.0223,"w",765
3157538,3132527,"Pyongyang","North Korea",0.008,"w",152
1085992,1071062,"Oslo","Norway",0.0139,"w",530
1650319,1622620,"Muscat","Oman",0.0171,"w",324
17236230,16839950,"Karachi","Pakistan",0.0235,"w",12
13979390,13541764,"Lahore","Pakistan",0.0323,"w",21
3710845,3624804,"Faisalabad","Pakistan",0.0237,"w",130
2415416,2352547,"Gujranwala","Pakistan",0.0267,"w",209
2411785,2342514,"Peshawar","Pakistan",0.0296,"w",210
2377325,2327455,"Rawalpindi","Pakistan",0.0214,"w",213
2154600,2105987,"Multan","Pakistan",0.0231,"w",238
1967684,1925953,"Hyderabad","Pakistan",0.0217,"w",264
1232447,1198035,"Islamabad","Pakistan",0.0287,"w",458
1190348,1159635,"Quetta","Pakistan",0.0265,"w",477
919654,894561,"Bahawalpur","Pakistan",0.0281,"w",641
753325,736488,"Sialkot","Pakistan",0.0229,"w",775
778187,756083,"Gaza","Palestine",0.0292,"w",751
1976866,1937963,"Panama City","Panama",0.0201,"w",261
3510511,3452315,"Asuncion","Paraguay",0.0169,"w",134
11204382,11044607,"Lima","Peru",0.0145,"w",30
958998,946844,"Arequipa","Peru",0.0128,"w",610
903896,890973,"Trujillo","Peru",0.0145,"w",658
14667089,14406059,"Manila","Philippines",0.0181,"w",18
1949400,1907721,"Davao City","Philippines",0.0218,"w",268
1024945,1008662,"Cebu City","Philippines",0.0161,"w",567
960349,944864,"Zamboanga City","Philippines",0.0164,"w",609
946653,924888,"Antipolo","Philippines",0.0235,"w",626
803194,786304,"Cagayan de Oro City","Philippines",0.0215,"w",727
802600,784218,"Dasmarinas","Philippines",0.0234,"w",728
1797516,1794532,"Warsaw","Poland",0.0017,"w",288
769417,769595,"Krakow","Poland",-0.0002,"w",759
3000536,2986162,"Lisbon","Portugal",0.0048,"w",166
1324652,1320347,"Porto","Portugal",0.0033,"w",414
2439564,2442512,"San Juan","Puerto Rico",-0.0012,"w",205
798382,779386,"Ar-Rayyan","Qatar",0.0244,"w",732
2637733,2552813,"Brazzaville","Republic of the Congo",0.0333,"w",193
1336387,1294612,"Pointe-Noire","Republic of the Congo",0.0323,"w",410
1776385,1785294,"Bucharest","Romania",-0.005,"w",294
12680389,12640818,"Moscow","Russia",0.0031,"w",25
5561294,5535556,"Saint Petersburg","Russia",0.0046,"w",73
1694765,1686236,"Novosibirsk","Russia",0.0051,"w",308
1527728,1521136,"Yekaterinburg","Russia",0.0043,"w",352
1291884,1286418,"Kazan","Russia",0.0042,"w",430
1251332,1252917,"Nizhniy Novgorod","Russia",-0.0013,"w",450
1240926,1237272,"Chelyabinsk","Russia",0.003,"w",455
1180745,1181049,"Omsk","Russia",-0.0003,"w",483
1166792,1158761,"Krasnoyarsk","Russia",0.0069,"w",492
1155732,1157631,"Samara","Russia",-0.0016,"w",496
1144799,1142399,"Ufa","Russia",0.0021,"w",498
1138854,1138025,"Rostov-on-Don","Russia",0.0007,"w",501
1081768,1078878,"Perm","Russia",0.0027,"w",534
1080808,1077179,"Voronezh","Russia",0.0034,"w",535
1001155,989104,"Krasnodar","Russia",0.0122,"w",578
995078,997537,"Volgograd","Russia",-0.0025,"w",583
903815,887092,"Tyumen","Russia",0.0189,"w",659
838377,839439,"Saratov","Russia",-0.0013,"w",697
1247551,1208296,"Kigali","Rwanda",0.0325,"w",453
7682430,7538200,"Riyadh","Saudi Arabia",0.0191,"w",52
4862941,4780740,"Jiddah","Saudi Arabia",0.0172,"w",88
2149928,2114675,"Mecca","Saudi Arabia",0.0167,"w",239
1572571,1545420,"Medina","Saudi Arabia",0.0176,"w",340
1329291,1304688,"Ad-Dammam","Saudi Arabia",0.0189,"w",412
872438,860353,"Hufuf-Mubarraz","Saudi Arabia",0.014,"w",676
3429536,3326001,"Dakar","Senegal",0.0311,"w",139
1408144,1405192,"Belgrade","Serbia",0.0021,"w",384
1309168,1272145,"Freetown","Sierra Leone",0.0291,"w",422
6080859,6039577,"Singapore","Singapore",0.0068,"w",64
2610483,2497463,"Mogadishu","Somalia",0.0453,"w",195
1127198,1079377,"Hargeysa","Somalia",0.0443,"w",506
760129,727772,"Merca","Somalia",0.0445,"w",769
6198016,6065354,"Johannesburg","South Africa",0.0219,"w",63
4890280,4800954,"Cape Town","South Africa",0.0186,"w",85
4118327,4044660,"Ekurhuleni","South Africa",0.0182,"w",108
3228003,3199329,"Durban","South Africa",0.009,"w",149
2818100,2739768,"Pretoria","South Africa",0.0286,"w",179
1295928,1280550,"Port Elizabeth","South Africa",0.012,"w",427
934341,921524,"West Rand","South Africa",0.0139,"w",636
892254,878960,"Soshanguve","South Africa",0.0151,"w",669
793927,786127,"Vereeniging","South Africa",0.0099,"w",739
9988049,9975709,"Seoul","South Korea",0.0012,"w",33
3471949,3468139,"Busan","South Korea",0.0011,"w",137
2848557,2834132,"Incheon","South Korea",0.0051,"w",177
2180997,2184528,"Daegu","South Korea",-0.0016,"w",234
1577436,1573369,"Daejon","South Korea",0.0026,"w",338
1529472,1526457,"Gwangju","South Korea",0.002,"w",351
1365352,1349905,"Suweon","South Korea",0.0114,"w",400
1135671,1120784,"Yongin","South Korea",0.0133,"w",502
1105283,1094880,"Goyang","South Korea",0.0095,"w",517
1054442,1054243,"Changwon","South Korea",0.0002,"w",553
941508,941569,"Seongnam","South Korea",-0.0001,"w",630
912734,911564,"Ulsan","South Korea",0.0013,"w",650
826981,827868,"Bucheon","South Korea",-0.0011,"w",704
766703,764669,"Ansan","South Korea",0.0027,"w",764
6751374,6713557,"Madrid","Spain",0.0056,"w",59
5687356,5658472,"Barcelona","Spain",0.0051,"w",69
838301,836857,"Valencia","Spain",0.0017,"w",698
6344348,6160327,"Khartoum","Sudan",0.0299,"w",61
1056952,1012312,"Nyala","Sudan",0.0441,"w",552
1700066,1679050,"Stockholm","Sweden",0.0125,"w",304
1431538,1419621,"Zurich","Switzerland",0.0084,"w",374
2584771,2502761,"Damascus","Syria",0.0328,"w",198
2203025,2098210,"Aleppo","Syria",0.05,"w",233
1443429,1397632,"Homs","Syria",0.0328,"w",370
995747,964154,"Hamah","Syria",0.0328,"w",582
4504147,4470672,"Xinbei","Taiwan",0.0075,"w",96
2754196,2742379,"Taipei","Taiwan",0.0043,"w",187
2318850,2296368,"Taoyuan","Taiwan",0.0098,"w",225
1552899,1547094,"Gaoxiong","Taiwan",0.0038,"w",345
1369066,1354431,"Taizhong","Taiwan",0.0108,"w",398
869625,863377,"Tainan","Taiwan",0.0072,"w",680
986899,962139,"Dushanbe","Tajikistan",0.0257,"w",591
7775865,7404689,"Dar es Salaam","Tanzania",0.0501,"w",49
1310754,1245444,"Mwanza","Tanzania",0.0524,"w",420
800010,766392,"Zanzibar","Tanzania",0.0439,"w",731
11069982,10899698,"Bangkok","Thailand",0.0156,"w",31
1454222,1435745,"Chon Buri","Thailand",0.0129,"w",366
1358871,1341605,"Samut Prakan","Thailand",0.0129,"w",402
1213348,1197931,"Chiang Mai","Thailand",0.0129,"w",471
1005007,992237,"Songkhla","Thailand",0.0129,"w",577
1000947,988230,"Nonthaburi","Thailand",0.0129,"w",579
950048,937977,"Pathum Thani","Thailand",0.0129,"w",624
801853,792437,"Nakhon Ratchasima","Thailand",0.0119,"w",729
1981615,1925517,"Lome","Togo",0.0291,"w",260
2475446,2439404,"Tunis","Tunisia",0.0148,"w",204
15847768,15636243,"Istanbul","Turkey",0.0135,"w",15
5397098,5309690,"Ankara","Turkey",0.0165,"w",77
3088414,3056149,"Izmir","Turkey",0.0106,"w",157
2086324,2054748,"Bursa","Turkey",0.0154,"w",249
1835895,1814445,"Adana","Turkey",0.0118,"w",279
1804704,1773495,"Gaziantep","Turkey",0.0176,"w",285
1407632,1383000,"Konya","Turkey",0.0178,"w",385
1347240,1318826,"Antalya","Turkey",0.0215,"w",408
1096937,1078994,"Diyarbakir","Turkey",0.0166,"w",522
1069402,1052637,"Mersin","Turkey",0.0159,"w",545
1013240,1000348,"Kayseri","Turkey",0.0129,"w",574
834065,818551,"Eskisehir","Turkey",0.019,"w",702
813394,792744,"Gebze","Turkey",0.026,"w",717
902353,883389,"Ashgabat","Turkmenistan",0.0215,"w",660
3846102,3651919,"Kampala","Uganda",0.0532,"w",124
3016789,3010209,"Kiev","Ukraine",0.0022,"w",161
1421052,1423343,"Kharkiv","Ukraine",-0.0016,"w",380
1007716,1007989,"Odesa","Ukraine",-0.0003,"w",576
941586,946574,"Dnipro","Ukraine",-0.0053,"w",629
887716,893392,"Donetsk","Ukraine",-0.0064,"w",671
3007583,2964382,"Dubai","United Arab Emirates",0.0146,"w",164
1830858,1785684,"Sharjah","United Arab Emirates",0.0253,"w",281
1566999,1539830,"Abu Dhabi","United Arab Emirates",0.0176,"w",344
9648110,9540576,"London","United Kingdom",0.0113,"w",36
2791005,2770434,"Manchester","United Kingdom",0.0074,"w",182
2665100,2645598,"Birmingham","United Kingdom",0.0074,"w",190
1928661,1915134,"West Yorkshire","United Kingdom",0.0071,"w",271
1698088,1688907,"Glasgow","United Kingdom",0.0054,"w",306
951531,943745,"Southampton","United Kingdom",0.0083,"w",622
917032,911546,"Liverpool","United Kingdom",0.006,"w",646
823431,818452,"Newcastle upon Tyne","United Kingdom",0.0061,"w",708
806757,800394,"Nottingham","United Kingdom",0.0079,"w",725
8992908,8930002,"New York City","NY",0.007,"us","United States",41
3930586,3919973,"Los Angeles","CA",0.0027,"us","United States",117
2761625,2756546,"Chicago","IL",0.0018,"us","United States",185
2366119,2345606,"Houston","TX",0.0088,"us","United States",217
1656892,1640641,"Phoenix","AZ",0.0099,"us","United States",323
1627134,1619355,"Philadelphia","PA",0.0048,"us","United States",329
1466791,1456069,"San Antonio","TX",0.0074,"us","United States",362
1410791,1402838,"San Diego","CA",0.0057,"us","United States",383
1336347,1325691,"Dallas","TX",0.008,"us","United States",411
1033430,1026700,"San Jose","CA",0.0066,"us","United States",562
1013293,996147,"Austin","TX",0.0172,"us","United States",573
987960,975177,"Jacksonville","FL",0.0131,"us","United States",589
972228,954457,"Fort Worth","TX",0.0186,"us","United States",600
941364,929492,"Columbus","OH",0.0128,"us","United States",631
917527,903211,"Charlotte","NC",0.0159,"us","United States",645
907802,901082,"Indianapolis","IN",0.0075,"us","United States",653
894584,887711,"San Francisco","CA",0.0077,"us","United States",667
775523,762687,"Seattle","WA",0.0168,"us","United States",754
750130,738594,"Denver","CO",0.0156,"us","United States",779
1774396,1767243,"Montevideo","Uruguay",0.004,"w",295
2603243,2573758,"Tashkent","Uzbekistan",0.0115,"w",196
2972145,2956813,"Caracas","Venezuela",0.0052,"w",169
2367626,2332718,"Maracaibo","Venezuela",0.015,"w",215
1983445,1959318,"Valencia","Venezuela",0.0123,"w",259
1254192,1240714,"Barquisimeto","Venezuela",0.0109,"w",446
1242945,1229520,"Maracay","Venezuela",0.0109,"w",454
964266,949518,"Ciudad Guayana","Venezuela",0.0155,"w",606
825581,815141,"Barcelona-Puerto La Cruz","Venezuela",0.0128,"w",707
758185,739052,"Maturin","Venezuela",0.0259,"w",771
9320866,9077158,"Ho Chi Minh City","Vietnam",0.0268,"w",39
5253385,5067352,"Hanoi","Vietnam",0.0367,"w",80
1865172,1786437,"Can Tho","Vietnam",0.0441,"w",277
1422974,1382031,"Hai Phong","Vietnam",0.0296,"w",378
1220634,1188374,"Da Nang","Vietnam",0.0271,"w",465
1110824,1078342,"Bien Hoa","Vietnam",0.0301,"w",515
3292497,3181655,"Sanaa","Yemen",0.0348,"w",147
1079670,1044911,"Aden","Yemen",0.0333,"w",537
940600,907739,"Taiz","Yemen",0.0362,"w",632
771514,731511,"Ibb","Yemen",0.0547,"w",757
3181250,3041789,"Lusaka","Zambia",0.0458,"w",151
762981,735499,"Kitwe","Zambia",0.0374,"w",767
1578128,1557740,"Harare","Zimbabwe",0.0131,"w",337
